shipment_id,order_id,created_ts,origin_city,dest_city,hub_type,carrier,vehicle_type,status,distance_km,package_weight_kg,package_volume_cm3,promised_days,delivery_days,shipping_cost_ars,on_time,customer_rating,incident,seller_type,service_level,payment_method
SHP778627473250,ORD24956873037,2025-11-16 12:38:00,Hurlingham,Hurlingham ,FULFILLMENT,Mercado Envíos,MOTO,DELIVERED,31.19,2.368,3687,2,3.0,272105.19,0.0,3.2,NONE,PRO,STANDARD,CREDIT_CARD
SHP623906048685,ORD89475622403,2025-05-11 22:00:00,Lomas de Zamora,CABA,SORTING_CENTER,OCA,VAN,DELIVERED,38.43,0.389,1879,4,1.0,1106.0,1.0,4.4,NONE,PARTICULAR,STANDARD,MERCADO_CREDITO
SHP971583650282,ORD64141603506,2025-11-03 08:26:00,Florencio Varela,Tigre,,Urbano,VAN,DELIVERED,24.72,1.492,4628,1,2.0,1008.34,0.0,3.7,ADDRESS_ISSUE,PRO,STANDARD,DEBIT_CARD
SHP202122301774,ORD14032373782,2025-05-15 06:25:00,Vicente López,Ituzaingó,FULFILLMENT,Correo Argentino,VAN,DELIVERED,38.05,0.503,1511,5,1.0,1450.05,1.0,4.6,NONE,PRO,NEXT_DAY,CASH
SHP998494227283,ORD00593676791,2025-01-21 18:21:00,Merlo,Ituzaingó,CROSS_DOCK,Mercado Envíos,MOTO,DELIVERED,29.8,0.793,2503,3,3.0,1431.8,1.0,5.0,NONE,PRO,SAME_DAY,MERCADO_CREDITO
SHP841489797005,ORD01165267167,2025-11-25 17:43:00,LANÚS,Florencio Varela,FULFILLMENT,Andreani,VAN,DELIVERED,21.9,1.627,2921,1,2.0,1505.03,0.0,3.1,NONE,PRO,NEXT_DAY,MERCADO_CREDITO
SHP732050622548,ORD18910369370,2025-06-16 10:16:00,San Isidro,Vicente López,FULFILLMENT,Mercado Envíos,VAN,DELIVERED,16.45,1.296,10986,1,1.0,857.04,1.0,5.0,NONE,PARTICULAR,STANDARD,CREDIT_CARD
SHP898767272449,ORD66178619734,2025-10-01 11:04:00,Berazategui,Vicente López,FULFILLMENT,Andreani,VAN,DELIVERED,23.46,1.06,1601,3,2.0,1296.72,1.0,5.0,NONE,PRO,STANDARD,CREDIT_CARD
SHP056388458022,ORD35388196874,2026-01-23 05:17:00,Vicente López,Berazategui,FULFILLMENT,OCA,TRUCK,DELIVERED,32.7,0.892,3715,7,2.0,1482.79,1.0,3.8,NONE,PRO,STANDARD,DEBIT_CARD
SHP738895297378,ORD79285447288,2025-03-30 22:30:00,Avellaneda,Lanús,FULFILLMENT,Urbano,VAN,DELIVERED,57.32,5.397,1330,10,2.0,2528.25,1.0,3.2,NONE,PRO,SAME_DAY,MERCADO_CREDITO
SHP421411355795,ORD08246308127,2025-11-12 23:59:00,San Martín, San Martín,CROSS_DOCK,Mercado Envíos,VAN,DELIVERED,51.63,0.739,5263,1,2.0,1359.96,0.0,5.0,NONE,PRO,STANDARD,TRANSFER
SHP118783814225,ORD38720907476,2025-01-14 02:53:00,CABA,CABA,FULFILLMENT,Flash,TRUCK,DELIVERED,22.93,2.032,670,3,2.0,1373.91,1.0,3.2,NONE,PRO,STANDARD,CREDIT_CARD
SHP911623470515,ORD64702635454,2025-08-30 05:58:00,Ezeiza,Quilmes,FULFILLMENT,Mercado Envíos,MOTO,OUT_FOR_DELIVERY,22.14,1.858,7680,4,,1105.77,,,NONE,PARTICULAR,STANDARD,MERCADO_CREDITO
SHP482621492646,ORD73722111571,2025-09-22 13:29:00,Avellanadaa,La Plata,FULFILLMENT,Mercado Envíos,VAN,DELIVERED,27.25,0.461,6204,3,1.0,1101.41,1.0,4.6,DAMAGED,PRO,NEXT_DAY,CASH
SHP498846151973,ORD24795211210,2025-12-12 17:10:00,san martín,Vicente López,FULFILLMENT,Correo Argentino,MOTO,PICKED_UP,26.25,0.905,4127,1,,1043.77,,,NONE,PARTICULAR,STANDARD,DEBIT_CARD
SHP479177750935,ORD52956184854,2025-02-22 09:27:00,Lomas de Zamora,San Martín,FULFILLMENT,Mercado Envíos,MOTO,CREATED,21.27,2.059,6026,2,,1359.27,,,NONE,PRO,STANDARD,TRANSFER
SHP396174990977,ORD41094840601,2026-01-21 15:42:00,Avellaneda,San Martín,CROSS_DOCK,OCA,AIR,DELIVERED,50.72,1.413,13301,1,3.0,1740.96,0.0,5.0,NONE,PRO,STANDARD,TRANSFER
SHP589954554308,ORD53917672544,2025-12-06 07:13:00,Avellaneda,Lanús,FULFILLMENT,OCA,BIKE,DELIVERED,14.29,3.787,2839,5,3.0,1318.66,1.0,4.8,NONE,PRO,NEXT_DAY,TRANSFER
SHP751205565790,ORD89366792261,2025-04-02 07:08:00,Lomas de Zamora,San Isidro,CROSS_DOCK,Correo Argentino,TRUCK,DELIVERED,37.64,1.756,5180,2,2.0,1181.83,1.0,4.4,NONE,PRO,STANDARD,MERCADO_CREDITO
SHP275500235493,ORD10045227746,2026-01-02 22:03:00,Quilmes,Lanús,CROSS_DOCK,Urbano,TRUCK,IN_TRANSIT,60.43,4.971,2080,2,,2125.73,,,NONE,PRO,STANDARD,MERCADO_CREDITO
SHP241350104872,ORD97669456980,2025-09-21 05:07:00,Escobar,Vicente López,,Mercado Envíos,BIKE,PICKED_UP,5.02,1.567,4019,7,,923.12,,,NONE,PRO,STANDARD,CREDIT_CARD
SHP354264789521,ORD13752166954,2025-02-04 23:34:00,Escobar,Merlo,CROSS_DOCK,Mercado Envíos,VAN,DELIVERED,14.0,2.85,15463,3,2.0,1247.62,1.0,,NONE,PRO,STANDARD,MERCADO_CREDITO
SHP503144334545,ORD00432098599,2025-07-25 04:37:00,Lomas de Zamora,Merlo,CROSS_DOCK,Correo Argentino,VAN,DELIVERED,6.88,2.514,4560,1,1.0,1149.64,1.0,3.8,NONE,PRO,NEXT_DAY,CASH
SHP724051937991,ORD62074691564,2025-03-22 19:40:00,Escobar,San Martín,FULFILLMENT,Mercado Envíos,MOTO,DELIVERED,54.92,0.857,3182,3,3.0,1780.73,1.0,4.1,NONE,PRO,ECONOMY,CREDIT_CARD
SHP171013555980,ORD03368362985,2026-02-24 06:13:00,San Isidro,San Miguel,CROSS_DOCK,Mercado Envíos,VAN,DELIVERED,26.43,1.286,2985,5,3.0,1175.56,1.0,4.7,NONE,PRO,STANDARD,CREDIT_CARD
SHP589548727901,ORD43394596541,2025-02-19 02:47:00,CABA,Hurlingham,SORTING_CENTER,Andreani,VAN,CREATED,108.19,1.17,1601,3,,2450.22,,,NONE,PARTICULAR,ECONOMY,MERCADO_CREDITO
SHP085681852068,ORD37672594619,2025-12-26 06:09:00,CABA, Lomas de Zamora,SORTING_CENTER,Mercado Envíos,AIR,OUT_FOR_DELIVERY,28.72,1.439,1381,1,,1034.75,,,NONE,PRO,ECONOMY,CREDIT_CARD
SHP522178115749,ORD62155099418,2026-01-23 13:47:00,La Plata,Avellaneda,SORTING_CENTER,Mercado Envíos,BIKE,CANCELLED,48.04,3.117,2602,1,3.0,1888.22,,,NONE,PRO,NEXT_DAY,CREDIT_CARD
SHP180483244335,ORD47528925395,2025-01-02 16:37:00,Ituzaingó,La Plata,CROSS_DOCK,Correo Argentino,VAN,DELIVERED,69.67,1.303,4404,3,3.0,2161.62,1.0,4.3,NONE,PRO,STANDARD,MERCADO_CREDITO
SHP265246433351,ORD88274958225,2026-01-25 19:52:00,Avellaneda,La Plata,FULFILLMENT,Urbano,TRUCK,DELIVERED,46.91,2.89,1965,5,1.0,1502.05,1.0,,NONE,PARTICULAR,STANDARD,CREDIT_CARD
SHP049787732282,ORD94153554316,2025-02-23 09:44:00,Ituzaingó,Hurlingham,CROSS_DOCK,Andreani,TRUCK,DELIVERED,22.92,5.077,1462,3,3.0,1737.03,1.0,2.8,NONE,PRO,STANDARD,CREDIT_CARD
SHP452147937062,ORD52707783689,2025-04-16 06:18:00,San Martín,Merlo,DROP_OFF,Mercado Envíos,MOTO,DELIVERED,23.18,2.529,5293,1,2.0,971.21,0.0,,NONE,PRO,NEXT_DAY,CREDIT_CARD
SHP994233255483,ORD40558845474,2025-09-17 01:16:00,Tigre,San Martín,FULFILLMENT,Mercado Envíos,VAN,DELIVERED,24.15,4.484,4900,1,1.0,1702.99,1.0,3.8,NONE,PRO,STANDARD,MERCADO_CREDITO
SHP488030996466,ORD61493668883,2025-11-06 09:28:00,CABA,Ituzaingó,CROSS_DOCK,Urbano,MOTO,DELIVERED,21.08,0.822,3889,1,2.0,1155.84,0.0,4.0,NONE,PRO,NEXT_DAY,CASH
SHP697375772794,ORD37780069974,2025-07-10 01:38:00,La Plata,Florencio Varela,FULFILLMENT,Andreani,VAN,IN_TRANSIT,55.57,0.861,4071,1,,1543.3,,,NONE,PARTICULAR,STANDARD,DEBIT_CARD
SHP242538622676,ORD06846907231,2026-02-06 02:42:00,Morón,Avellaneda,FULFILLMENT,Mercado Envíos,VAN,PICKED_UP,81.06,3.238,1509,2,,2693.21,,,NONE,PRO,STANDARD,TRANSFER
SHP680794165609,ORD55710862914,2025-08-06 21:38:00,Merlo,Tigre,SORTING_CENTER,,TRUCK,DELIVERED,83.97,0.463,6291,4,2.0,1976.29,1.0,3.7,NONE,PARTICULAR,STANDARD,MERCADO_CREDITO
SHP641272994778,ORD22089614356,2025-02-13 15:16:00,Vicente López,Ituzaingó,DROP_OFF,MOTOMENSAJERIA,VAN,DELIVERED,54.84,2.376,5203,2,3.0,1817.92,0.0,4.7,NONE,PRO,ECONOMY,CREDIT_CARD
SHP526919162642,ORD42813425592,2025-06-11 16:20:00,Vicente López,Quilmes,SORTING_CENTER,Mercado Envíos,VAN,DELIVERED,85.61,1.677,2554,3,3.0,2148.28,1.0,4.5,NONE,PRO,STANDARD,CREDIT_CARD
SHP321190730320,ORD96256706492,2025-07-21 06:36:00,Florencio Varela,Ezeiza,FULFILLMENT,Urbano,BIKE,PICKED_UP,59.81,1.397,2604,4,,1913.24,,,NONE,PRO,STANDARD,CREDIT_CARD
SHP435225291836,ORD76366676869,2025-09-27 13:08:00,San Isidro,Escobar,FULFILLMENT,Mercado Envíos,MOTO,OUT_FOR_DELIVERY,50.66,0.971,2787,2,,1677.95,,,NONE,PRO,ECONOMY,DEBIT_CARD
SHP654326129439,ORD63457027115,2025-12-17 05:43:00,Quilmes ,Florencio Varela,FULFILLMENT,Mercado Envíos,VAN,DELIVERED,12.16,4.219,1733,3,2.0,1525.45,1.0,5.0,NONE,PRO,NEXT_DAY,CREDIT_CARD
SHP252938227462,ORD95982848731,2025-10-31 17:29:00,San Martín,Florencio Varela,FULFILLMENT,Andreani,TRUCK,DELIVERED,64.09,0.644,6498,5,3.0,1859.19,1.0,3.7,NONE,PRO,STANDARD,CREDIT_CARD
SHP496889314715,ORD91987998370,2025-09-28 16:43:00,Avellaneda,San Isidro ,FULFILLMENT,Mercado Envíos,AIR,DELIVERED,26.07,0.833,2316,7,1.0,1451.49,1.0,5.0,NONE,PRO,NEXT_DAY,MERCADO_CREDITO
SHP989309244878,ORD54665891208,2025-08-03 17:59:00,Ituzaingó,Quilmes,DROP_OFF,Mercado Envíos,VAN,IN_TRANSIT,7.13,1.038,7745,2,,733.35,,,NONE,PARTICULAR,STANDARD,MERCADO_CREDITO
SHP281141100160,ORD59208934193,2025-09-09 09:02:00,San Martín,lanus,FULFILLMENT,Mercado Envíos,VAN,DELIVERED,7.94,2.789,5675,4,2.0,1366.2,1.0,4.7,NONE,PRO,STANDARD,CREDIT_CARD
SHP031277449479,ORD40814679471,2025-07-09 17:33:00,Ituzaingó,Vicente López,FULFILLMENT,OCA,MOTO,DELIVERED,55.25,1.629,9874,3,2.0,1899.71,1.0,4.2,DAMAGED,PRO,ECONOMY,MERCADO_CREDITO
SHP001399099286,ORD40449034980,2025-10-23 08:55:00,Hurlingham,San Miguel,FULFILLMENT,Flash,TRUCK,OUT_FOR_DELIVERY,18.34,0.885,1898,1,,383660.04,,,NONE,PARTICULAR,NEXT_DAY,DEBIT_CARD
SHP656979533512,ORD65933118466,2025-08-01 10:07:00,CABA,Pilar,FULFILLMENT,Andreani,MOTO,DELIVERED,17.79,1.858,1125,7,1.0,932.51,1.0,4.7,NONE,PRO,STANDARD,CREDIT_CARD
SHP823036206582,ORD50721507228,2025-07-27 19:41:00,Avellaneda ,Ezeiza,FULFILLMENT,Urbano,VAN,DELIVERED,31.74,1.862,2381,2,4.0,1554.87,0.0,5.0,NONE,PARTICULAR,NEXT_DAY,CREDIT_CARD
SHP632103449520,ORD31908112160,2025-08-25 19:04:00,San Miguel,Morón,FULFILLMENT,Mercado Envíos,TRUCK,DELIVERED,86.86,3.244,1235,4,2.0,2604.25,1.0,3.3,NONE,PRO,ECONOMY,MERCADO_CREDITO
SHP227051450193,ORD07231075747,2025-12-04 02:33:00,San Martín,Hurlingham,FULFILLMENT,Andreani,VAN,DELIVERED,5.93,2.067,3204,1,1.0,929.89,1.0,3.8,NONE,PRO,STANDARD,MERCADO_CREDITO
SHP513067280433,ORD51590785490,2026-01-02 14:29:00,Lomas de Zamora,La Plata,SORTING_CENTER,Urbano,MOTO,DELIVERED,15.14,0.501,10406,3,1.0,867.06,1.0,5.0,NONE,PARTICULAR,STANDARD,TRANSFER
SHP557360245354,ORD44649006026,2025-02-22 18:25:00,Tigre,Berazategui,FULFILLMENT,Mercado Envíos,BIKE,IN_SORTING,29.35,2.292,5139,2,,1584.05,,,NONE,PARTICULAR,STANDARD,CREDIT_CARD
SHP816594284061,ORD53954607867,2025-10-07 23:04:00,San Miguel,Vicente López,FULFILLMENT,Mercado Envíos,MOTO,DELIVERED,18.04,0.515,8744,2,2.0,927.76,1.0,3.9,NONE,PRO,NEXT_DAY,MERCADO_CREDITO
SHP254764300375,ORD72423440463,2026-02-14 22:13:00,,Lomas de Zamora,DROP_OFF,OCA,VAN,DELIVERED,42.23,1.805,3689,1,2.0,1609.89,0.0,5.0,NONE,PRO,STANDARD,DEBIT_CARD
SHP295511198194,ORD19080078555,2025-08-05 14:40:00,San Isidro,La Plata,FULFILLMENT,Mercado Envíos,AIR,IN_TRANSIT,15.89,1.235,1984,5,,1014.32,,,NONE,PRO,NEXT_DAY,CREDIT_CARD
SHP267955192434,ORD31367879635,2025-09-09 05:31:00,Pilar,Avellaneda,SORTING_CENTER,Andreani,TRUCK,DELIVERED,41.68,0.824,2922,5,1.0,1367.85,1.0,4.5,NONE,PRO,STANDARD,DEBIT_CARD
SHP411564312860,ORD26218375889,2025-07-07 21:40:00,Avellaneda,Florencio Varela,SORTING_CENTER,Mercado Envíos,VAN,DELIVERED,21.91,3.52,2567,5,1.0,1644.37,1.0,4.1,NONE,PRO,STANDARD,CREDIT_CARD
SHP258695755755,ORD86609821733,2026-01-15 06:46:00,Lomas de Zamora,Tigre,SORTING_CENTER,Mercado Envíos,MOTO,DELIVERED,12.38,2.507,2895,3,2.0,932.76,1.0,5.0,NONE,PARTICULAR,STANDARD,MERCADO_CREDITO
SHP617181423316,ORD08541607243,2025-02-10 02:05:00,La Plata,Quilmes,FULFILLMENT,Andreani,MOTO,DELIVERED,9.18,0.733,2207,4,2.0,1175.69,1.0,4.6,NONE,PRO,STANDARD,MERCADO_CREDITO
SHP227762515952,ORD37750016626,2025-06-06 21:47:00,Vicente López,Morón,FULFILLMENT,Mercado Envíos,MOTO,DELIVERED,32.57,2.816,4584,2,2.0,1404.6,1.0,4.0,NONE,PRO,STANDARD,CREDIT_CARD
SHP729041701038,ORD44271426460,2025-01-15 09:52:00,Ezeiza,Tigre,FULFILLMENT,Mercado Envíos,VAN,RETURNED,11.53,1.195,3629,2,2.0,618.72,,,NONE,PRO,STANDARD,CREDIT_CARD
SHP163408684742,ORD35032123071,2025-10-28 07:22:00,Avellaneda,Merlo,FULFILLMENT,Andreani,TRUCK,DELIVERED,7.87,2.081,3991,2,1.0,638.86,1.0,4.3,NONE,PARTICULAR,STANDARD,DEBIT_CARD
SHP459800417860,ORD37588080098,2025-03-06 20:04:00,San Isidro,San Isidro,FULFILLMENT,Mercado Envíos,VAN,CANCELLED,85.1,0.704,1389,10,3.0,2287.6,,,NONE,PRO,STANDARD,CREDIT_CARD
SHP241276856501,ORD55741038689,2025-12-11 02:41:00,caba,Hurlingham,FULFILLMENT,Andreani,TRUCK,DELIVERED,30.77,0.862,2086,1,3.0,1168.74,0.0,3.3,NONE,PRO,ECONOMY,MERCADO_CREDITO
SHP843060008918,ORD08255333315,2025-11-23 23:04:00,San Isidro,Lomas de Zamora,FULFILLMENT,Correo Argentino,TRUCK,IN_TRANSIT,19.31,2.714,2382,5,,1384.06,,,NONE,PRO,STANDARD,CREDIT_CARD
SHP746220179630,ORD15937882116,2025-01-09 02:09:00,CABA,Quilmes,FULFILLMENT,Mercado Envíos,VAN,CANCELLED,32.67,2.437,4092,3,1.0,1361.87,,,NONE,PRO,STANDARD,CREDIT_CARD
SHP802708437216,ORD76174774956,2025-12-10 04:40:00,CABA,Quilmes,FULFILLMENT,Mercado Envíos,VAN,DELIVERED,9.03,3.709,3693,3,1.0,1117.0,1.0,4.6,NONE,PARTICULAR,SAME_DAY,CREDIT_CARD
